subject,seed,trial,tStart_1,tStart_2,tEnd_1,tEnd_2,exitFlag_1,exitFlag_2,jitter_1,jitter_2,response_1,response_2,rt_1,rt_2,item,pair,name,list,tType_study,trial_test,item_test,pair_test,tType_test,name_test,roboBCFS_1,roboBCFS_2,gonogo_answer,eyes_1,eyes_2,tStart_cue,tEnd_cue,tStart_noise,tEnd_noise,exitFlag_cue,exitFlag_noise,jitter_cue,jitter_noise,transparency_1,transparency_2,pas_1,pas_2,RoboRT_1,RoboRT_2,meanRoboRT_1,meanRoboRT_2,response_cue,rt_cue,RoboRT_cue,meanRoboRT_cue,response_noise,rt_noise,RoboRT_noise,meanRoboRT_noise
199,1109047867,26,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,10,,,NaN,NaN,121,61,mug,3,CFS,33,117,135,Binocular,plane,j,j,go,1,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,3,2,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,27,NaN,NaN,NaN,NaN,EMPTY,EMPTY,6,0,,,NaN,NaN,96,81,truck,3,Binocular,28,85,25,Not Studied,foot stool,z,z,go,1,1,NaN,NaN,NaN,NaN,EMPTY,EMPTY,5,0,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,28,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,7,,,NaN,NaN,53,23,floss,3,Binocular,29,96,81,Binocular,truck,z,z,go,1,1,NaN,NaN,NaN,NaN,EMPTY,EMPTY,9,0,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,29,NaN,NaN,NaN,NaN,EMPTY,EMPTY,8,0,,,NaN,NaN,16,13,book,3,CFS,32,53,23,Not Studied,floss,j,j,go,1,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,6,1,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,30,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,0,,,NaN,NaN,117,135,plane,3,Not Studied,26,110,102,Not Studied,lazy chair,f,f,nogo,0,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,9,4,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,31,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,0,,,NaN,NaN,85,25,foot stool,3,Not Studied,27,78,98,CFS,sweater,f,f,go,0,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,10,8,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,32,NaN,NaN,NaN,NaN,EMPTY,EMPTY,2,10,,,NaN,NaN,23,53,bucket,3,Binocular,36,16,13,Binocular,book,z,z,go,1,1,NaN,NaN,NaN,NaN,EMPTY,EMPTY,3,0,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,33,NaN,NaN,NaN,NaN,EMPTY,EMPTY,10,4,,,NaN,NaN,30,69,cane,3,CFS,35,121,61,CFS,mug,j,j,nogo,1,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,5,7,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,34,NaN,NaN,NaN,NaN,EMPTY,EMPTY,3,8,,,NaN,NaN,73,68,toothbrush,3,Binocular,25,4,34,Binocular,bandana,z,z,nogo,1,1,NaN,NaN,NaN,NaN,EMPTY,EMPTY,6,9,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,35,NaN,NaN,NaN,NaN,EMPTY,EMPTY,6,8,,,NaN,NaN,110,102,lazy chair,3,CFS,30,30,69,CFS,cane,j,j,go,1,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,5,9,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
