firstTarget,response_cue,minDist,cue_correct,id
cookie cutter,cookie cutter,0,1,77
wheel,tire,0,1,78
glasses,glasses,0,1,79
saw,crib,4,0,80
sundial,chest of drawers,13,0,81
nail clippers,wheel,12,0,82
comb,saw,4,0,83
cell phone,chair,4,0,84
mouse,ice cube tray,11,0,85
flask,flask,0,1,86
router,mask,4,0,87
earring,ice tray,7,0,88
pot,mouse,4,0,89
vase,vase,0,1,90
truck,ice tray,7,0,91
ice tray,ice tray,0,1,92
thimble,vase,4,0,93
wallet,flask,5,0,94
candlestick,vase,9,0,95
bucket,bucket,0,1,96
rake,rake,0,1,97
candle,toilet paper,11,0,98
stove,chair,5,0,99
tub,tub,0,1,100
satellite,motherboard,9,0,101
office chair,paper,4,0,102
paper clip,paperclip,1,0,103
balloon,tub,7,0,104
athletic tape,rug,4,0,105
backpack,glove,5,0,106
glove,glove,0,1,107
computer drive,motherboard,0,1,108
pillow,sweater,7,0,109
saddle,briefcase,8,0,110
box,box,0,1,111
spoon,pill,4,0,112
hinge,boat,5,0,113
ethernet cable,cord,0,1,114
binoculars,rope,9,0,115
microphone,pipes,8,0,116
chess board,chessboard,1,1,117
boat,car,3,0,118
cane,scissors,7,0,119
necklace,beads,6,0,120
purse,clothspin,8,0,121
dresser,dresser,0,1,122
paint brush,hanger,6,0,123
floss,icebox,6,0,124
bed,window,5,0,125
high heel,high heeled shoe,2,1,126
clothes pin,clothspin,2,1,127
chain,necklace,6,0,128
glass,high heeled shoe,12,0,129
foot stool,wine glass,9,0,130
knife,handbag,6,0,131
mailbox,dresser,7,0,132
pen,pen,0,1,133
lamp,dress,5,0,134
paper towel,mirror,9,0,135
umbrella,umbrella,0,1,136
book,book,0,1,137
stroller,stroller,0,1,138
bandana,window,5,0,139
lazy chair,hole punch,8,0,140
calculator,calculator,0,1,141
cutting board,mirror,10,0,142
hole punch,hole punch,0,1,143
ring,hole punch,9,0,144
lure,fishing bait,3,0,145
sweater,cable knit sweater,11,1,146
paint tray,sneaker,9,0,147
bib,hand bag,7,0,148
shoe,sneakers,0,1,149
radio,airplane,7,0,150
mug,mug,0,1,151
deoderant,curtain,8,0,152
moccosin,mockasin,1,1,153
plane,airplane,0,1,154
kid toy,shoe,3,0,155
scissors,scizzors,2,1,156
crayon,crayon,0,1,157
bobby pin,bobbypin,1,1,158
camera,gaming bag,7,0,159
ladle,spoon,5,1,160
keys,chair,5,0,161
cork screw,ax,10,0,162
axe,ax,1,1,163
watering pot,clock,9,0,164
pill,telescope lens,9,0,165
guitar,pill,5,0,166
sponge,sponge,0,1,167
watch,clock,4,0,168
briefcase,crow bar,7,0,169
blanket,towel,0,1,170
clipboard,clip board,1,1,171
scarf,scarf,0,1,172
magnifying glass,key,12,0,173
key,key,0,1,174
notebook,crow bar,7,0,175
steering wheel,crow bar,12,0,176
truck,gun,4,0,177
crowbar,crow bar,1,1,178
lock,lever,4,0,179
marker,ax,5,0,180
helmet,helmet,0,1,181
knot,rug,3,0,182
mouse trap,wood,7,0,183
eletric kettle,teapot,5,0,184
egg beater,iron,10,0,185
speakers,tennis raquette,12,0,186
hammer,hammer,0,1,187
binder,wood,5,0,188
toothbrush,ad,10,0,189
battery,battery,0,1,190
pfd,radio,4,0,191
rug,bridge,4,0,192
nail,brush,5,0,193
crib,bed skirt,8,0,194
saw,be,3,0,195
glasses,sunglasses,0,1,196
comb,comb,0,1,197
nail clippers,hairbrush,11,0,198
wheel,wheel,0,1,199
cookie cutter,map,13,0,200
sundial,shirft,6,0,201
cell phone,phone over,5,0,202
dice,crib,3,0,203
cd,lightswitch,10,0,204
vase,vase,0,1,205
earring,bag,5,0,206
thimble,glass juar,7,0,207
router,push car,7,0,208
bucket,bucket,0,1,209
candlestick,lamp,10,0,210
mouse,mook,3,0,211
truck,ice tray,7,0,212
ice tray,ice tray,0,1,213
flask,flask,0,1,214
wallet,flask,5,0,215
pot,flask,5,0,216
tub,bathtub,0,1,217
candle,candle,0,1,218
glove,glove,0,1,219
paper clip,paper clip,0,1,220
backpack,company lot,9,0,221
computer drive,company facility,10,0,222
stove,stand,3,0,223
rake,rake,0,1,224
athletic tape,purse,4,0,225
satellite,solar panel,9,0,226
office chair,toilet paper,9,0,227
balloon,lamp,6,0,228
microphone,simple machine,10,0,229
chess board,chess,0,1,230
hinge,box,5,0,231
box,box,0,1,232
ethernet cable,hose,3,0,233
pillow,bracelet,7,0,234
saddle,spoon,5,0,235
boat,yahgt,2,1,236
necklace,bracelet,7,1,237
spoon,spoon,0,1,238
cane,cane,0,1,239
binoculars,crutch,9,0,240
mailbox,bag,6,0,241
floss,door,4,0,242
chain,chain,0,1,243
knife,knife,0,1,244
dresser,fence,5,0,245
purse,ribbon,5,0,246
glass,wine glass,0,1,247
high heel,bag,4,0,248
bed,window,5,0,249
clothes pin,NO RESPONSE,11,0,250
paint brush,NO RESPONSE,11,0,251
foot stool,table,4,0,252
pen,NO RESPONSE,11,0,253
book,book,0,1,254
cutting board,bowl,11,0,255
bandana,bandana,0,1,256
ring,bowl,4,0,257
umbrella,umbrella,0,1,258
stroller,NO RESPONSE,11,0,259
paper towel,NO RESPONSE,11,0,260
lamp,table,4,0,261
lazy chair,NO RESPONSE,11,0,262
calculator,NO RESPONSE,11,0,263
hole punch,bag,10,0,264
paint tray,storage container,14,0,265
mug,mug,0,1,266
radio,NA,Inf,0,267
shoe,NO RESPONSE,11,0,268
deoderant,NO RESPONSE,11,0,269
kid toy,NO RESPONSE,11,0,270
sweater,NO RESPONSE,11,0,271
plane,scissors,8,0,272
lure,fish hook,0,1,273
moccosin,NO RESPONSE,11,0,274
bib,baby bib,5,0,275
scissors,scissors,0,1,276
crayon,NA,Inf,0,277
cork screw,NO RESPONSE,11,0,278
sponge,sponge,0,1,279
watering pot,watering can,0,1,280
bobby pin,NO RESPONSE,11,0,281
camera,NO RESPONSE,11,0,282
pill,NO RESPONSE,11,0,283
keys,car keys,0,1,284
ladle,NO RESPONSE,11,0,285
watch,clock,4,0,286
guitar,guitar,0,1,287
axe,NO RESPONSE,11,0,288
truck,NO RESPONSE,11,0,289
steering wheel,NO RESPONSE,14,0,290
lock,pad lock,1,1,291
crowbar,NO RESPONSE,11,0,292
marker,NO RESPONSE,11,0,293
blanket,NO RESPONSE,11,0,294
briefcase,clipboard,7,0,295
magnifying glass,NO RESPONSE,13,0,296
clipboard,clipboard,0,1,297
scarf,NO RESPONSE,11,0,298
key,key,0,1,299
notebook,notebook,0,1,300
pfd,NO RESPONSE,11,0,301
speakers,boombox,8,0,302
helmet,NO RESPONSE,11,0,303
egg beater,NO RESPONSE,11,0,304
knot,knot,0,1,305
eletric kettle,NO RESPONSE,11,0,306
toothbrush,NO RESPONSE,11,0,307
rug,NO RESPONSE,11,0,308
battery,battery,0,1,309
mouse trap,plank,8,0,310
hammer,NO RESPONSE,11,0,311
binder,NO RESPONSE,11,0,312
cd,cd rom,4,1,313
wheel,tire,0,1,314
nail,NO RESPONSE,11,0,315
glasses,glasses,0,1,316
saw,NO RESPONSE,11,0,317
crib,NO RESPONSE,11,0,318
cell phone,cellphone,1,1,319
nail clippers,nail clippers,0,1,320
dice,NO RESPONSE,11,0,321
comb,comb,0,1,322
cookie cutter,NO RESPONSE,13,0,323
sundial,sundial,0,1,324
router,modem,0,1,325
ice tray,ice cube tray,0,1,326
thimble,thimble,0,1,327
mouse,NO RESPONSE,11,0,328
candlestick,NO RESPONSE,11,0,329
pot,puzzle piece,11,0,330
vase,NO RESPONSE,11,0,331
truck,truck,0,1,332
flask,NO RESPONSE,11,0,333
earring,NO RESPONSE,11,0,334
bucket,NO RESPONSE,11,0,335
wallet,NO RESPONSE,11,0,336
athletic tape,ace bandage,0,1,337
office chair,NO RESPONSE,11,0,338
rake,rake,0,1,339
tub,NO RESPONSE,11,0,340
glove,glove,0,1,341
paper clip,paperclip,1,0,342
satellite,satellite,0,1,343
balloon,NO RESPONSE,11,0,344
candle,NO RESPONSE,11,0,345
computer drive,NO RESPONSE,11,0,346
stove,NO RESPONSE,11,0,347
backpack,NO RESPONSE,11,0,348
microphone,microphone,0,1,349
boat,NO RESPONSE,11,0,350
saddle,NO RESPONSE,11,0,351
necklace,NO RESPONSE,11,0,352
box,laptop,5,0,353
binoculars,NO RESPONSE,11,0,354
chess board,checkerboard,4,1,355
hinge,NO RESPONSE,11,0,356
pillow,NO RESPONSE,11,0,357
cane,NO RESPONSE,11,0,358
ethernet cable,NO RESPONSE,11,0,359
spoon,NO RESPONSE,11,0,360
mailbox,toolbox,3,0,361
floss,bed,5,0,362
purse,shoe,4,0,363
dresser,dresser,0,1,364
high heel,NO RESPONSE,11,0,365
bed,bed,0,1,366
clothes pin,NO RESPONSE,11,0,367
glass,wine glass,0,1,368
paint brush,NO RESPONSE,11,0,369
chain,chain,0,1,370
foot stool,screw,4,0,371
knife,NA,Inf,0,372
calculator,calculator,0,1,373
umbrella,umbrella,0,1,374
bandana,NO RESPONSE,11,0,375
lamp,lamp,0,1,376
cutting board,coaster,11,0,377
pen,brush,5,0,378
hole punch,open bag,8,0,379
paper towel,papertowelroll,2,1,380
lazy chair,NO RESPONSE,11,0,381
book,book,0,1,382
stroller,baby stroller,0,1,383
ring,bowl,4,0,384
deoderant,deodorant,1,1,385
kid toy,rattle,5,1,386
mug,mug,0,1,387
radio,old radio,4,1,388
bib,harness,7,0,389
sweater,brush,7,0,390
moccosin,hat,4,0,391
lure,fishing tackle,5,0,392
paint tray,NO RESPONSE,11,0,393
scissors,scissors,0,1,394
shoe,shoe,0,1,395
plane,airplane,0,1,396
crayon,capsule,6,0,397
watch,scale or alarm clock,18,0,398
cork screw,NO RESPONSE,11,0,399
watering pot,ladle,8,0,400
guitar,spoon,6,0,401
keys,NO RESPONSE,11,0,402
ladle,NO RESPONSE,11,0,403
camera,camera,0,1,404
sponge,sponge,0,1,405
axe,knife,4,0,406
pill,capsule or pill,8,0,407
bobby pin,bobbypin,1,0,408
steering wheel,steering wheel,0,1,409
blanket,carpet,4,0,410
clipboard,clipboard,0,1,411
lock,lock,0,1,412
truck,NO RESPONSE,11,0,413
notebook,NO RESPONSE,11,0,414
briefcase,briefcase,0,1,415
crowbar,NO RESPONSE,11,0,416
key,key,0,1,417
marker,marker,0,1,418
scarf,rag,4,0,419
magnifying glass,NO RESPONSE,13,0,420
rug,bag,2,0,421
knot,belt,3,0,422
helmet,ball,5,0,423
binder,binder,0,1,424
speakers,speaker,1,1,425
pfd,life vest,0,1,426
egg beater,bottle,8,0,427
mouse trap,mouse trap,0,1,428
eletric kettle,NO RESPONSE,11,0,429
hammer,hammer,0,1,430
toothbrush,toothbrush,0,1,431
battery,battery,0,1,432
nail,nail,0,1,433
sundial,pocketwatch,10,0,434
dice,NO RESPONSE,11,0,435
crib,bed,4,0,436
saw,NO RESPONSE,11,0,437
glasses,glasses,0,1,438
comb,comb,0,1,439
cookie cutter,cookie cutter,0,1,440
cd,cd,0,1,441
nail clippers,watch,11,0,442
cell phone,flip phone,0,1,443
wheel,wheel,0,1,444
truck,NO RESPONSE,11,0,445
ice tray,ice cube tray,0,1,446
candlestick,candlestick holder,0,1,447
pot,puzzle piece,11,0,448
thimble,gold ball,7,0,449
bucket,bucket,0,1,450
wallet,NO RESPONSE,11,0,451
router,key,4,0,452
mouse,NO RESPONSE,11,0,453
flask,wallet,5,0,454
vase,soccer ball,10,0,455
earring,NO RESPONSE,11,0,456
athletic tape,beehive,5,0,457
satellite,solar panel,9,0,458
glove,glove,0,1,459
office chair,NO RESPONSE,11,0,460
candle,NO RESPONSE,11,0,461
computer drive,microchip,5,1,462
stove,NO RESPONSE,11,0,463
balloon,balloon,0,1,464
backpack,NO RESPONSE,11,0,465
paper clip,paperclip,1,1,466
rake,rake,0,1,467
tub,NO RESPONSE,11,0,468
necklace,necklace,0,1,469
ethernet cable,ethernet cable,0,1,470
microphone,hinge,8,0,471
spoon,NO RESPONSE,11,0,472
binoculars,NO RESPONSE,11,0,473
chess board,game board,5,0,474
boat,NO RESPONSE,11,0,475
cane,cane,0,1,476
pillow,NO RESPONSE,11,0,477
hinge,box,5,0,478
box,NO RESPONSE,11,0,479
saddle,saddle,0,1,480
chain,chain,0,1,481
dresser,chest of drawers,9,1,482
mailbox,car,6,0,483
paint brush,roof,4,0,484
purse,ribbon,5,0,485
knife,car,5,0,486
clothes pin,butterfly,9,0,487
foot stool,screw,4,0,488
bed,car,3,0,489
glass,spoon,5,0,490
high heel,shoe,0,1,491
floss,box,4,0,492
paper towel,couch,10,0,493
book,book,0,1,494
calculator,calculator,0,1,495
cutting board,cutting board,0,1,496
pen,pen,0,1,497
stroller,stroller,0,1,498
lazy chair,chair,0,1,499
bandana,house,7,0,500
lamp,shoe,4,0,501
umbrella,umbrella,0,1,502
ring,mirror,5,0,503
hole punch,hole punch,0,1,504
deoderant,garbage can,9,0,505
lure,fishing bait,3,1,506
sweater,sweater,0,1,507
moccosin,slipper,0,1,508
paint tray,car,8,0,509
plane,plane,0,1,510
shoe,running shoe,8,0,511
scissors,scissors,0,1,512
kid toy,shoe,3,0,513
radio,boat,5,0,514
mug,mug,0,1,515
bib,stroller,8,0,516
bobby pin,strings,7,0,517
sponge,sponge,0,1,518
keys,chair,5,0,519
crayon,crayon,0,1,520
watch,clock,4,0,521
camera,camera,0,1,522
axe,axe,0,1,523
cork screw,shoe,8,0,524
guitar,knife,5,0,525
watering pot,pen,8,0,526
pill,tube,4,0,527
ladle,corkscrew,8,0,528
lock,tool,3,0,529
scarf,scarf,0,1,530
notebook,key,7,0,531
key,key,0,1,532
marker,rod,5,0,533
steering wheel,crow bar,12,0,534
truck,camera,5,0,535
blanket,towel,0,1,536
magnifying glass,magnifying glass,0,1,537
clipboard,clip board,1,1,538
briefcase,bag,7,1,539
crowbar,tool,6,0,540
mouse trap,wood,7,0,541
battery,can,6,0,542
knot,rug,3,0,543
rug,rug,0,1,544
speakers,microphone,10,0,545
binder,mat,6,0,546
egg beater,car,8,0,547
toothbrush,toy,8,0,548
hammer,kettle,6,0,549
eletric kettle,kettle,0,1,550
pfd,quilt,5,0,551
helmet,pot,5,0,552
dice,cloth,5,0,553
comb,comb,0,1,554
sundial,wood,6,0,555
cookie cutter,roof,11,0,556
cd,cd,0,1,557
nail,board,4,0,558
nail clippers,tin can,10,0,559
glasses,glasses,0,1,560
saw,knife,5,0,561
cell phone,calculator,8,0,562
wheel,wheel,0,1,563
crib,bed,4,0,564
vase,vase,0,1,565
pot,paddle,5,0,566
candlestick,chair,9,0,567
router,lawn mower,7,0,568
flask,bucket,6,0,569
thimble,golf ball,7,0,570
truck,box,5,0,571
wallet,leather bag,9,0,572
earring,mouse,7,0,573
mouse,book,4,0,574
bucket,basket,2,0,575
ice tray,ice cube tray,0,1,576
office chair,bag,4,0,577
tub,bath tub,1,1,578
backpack,shoe,4,0,579
balloon,ball,3,0,580
rake,rake,0,1,581
stove,ladder,5,0,582
satellite,computer chip,11,0,583
candle,fountain,7,0,584
computer drive,computer chip,0,1,585
paper clip,paper clip,0,1,586
glove,glove,0,1,587
athletic tape,rug,4,0,588
hinge,wall,5,0,589
binoculars,mower,8,0,590
microphone,mic stand,6,0,591
saddle,boot,6,0,592
chess board,chess board,0,1,593
spoon,flat iron,7,0,594
boat,boat,0,1,595
necklace,bracelet,7,1,596
pillow,coat,6,0,597
box,book,2,0,598
cane,mower,4,0,599
ethernet cable,rope,3,0,600
paint brush,NA,Inf,0,601
glass,wine glass,0,1,602
mailbox,chest,7,0,603
chain,lamp,4,0,604
bed,birdge,4,0,605
clothes pin,flower,8,0,606
knife,cleaver,6,0,607
purse,pouring water,9,0,608
high heel,shoe,0,1,609
floss,chair,5,0,610
foot stool,table thingy,11,0,611
dresser,dresser,0,1,612
hole punch,glasses,9,0,613
bandana,box,6,0,614
cutting board,table,11,0,615
lamp,vase,3,0,616
ring,ring,0,1,617
book,book,0,1,618
paper towel,bag,10,0,619
stroller,stroler,1,1,620
lazy chair,desk,5,0,621
pen,pen,0,1,622
calculator,stereo,9,0,623
umbrella,umbrella,0,1,624
plane,airplane,0,1,625
shoe,shoe,0,1,626
paint tray,paint tray,0,1,627
mug,mug,0,1,628
radio,plate,5,0,629
scissors,scissors,0,1,630
lure,fishing lure,0,1,631
moccosin,hat,4,0,632
kid toy,tamberine,8,0,633
sweater,sweater,0,1,634
deoderant,deodorant,1,1,635
bib,baby bib,5,1,636
keys,keys,0,1,637
axe,ax,1,1,638
crayon,crayon,0,1,639
guitar,guitar,0,1,640
cork screw,handle,9,0,641
bobby pin,wire,6,0,642
watering pot,clock,9,0,643
sponge,spunge,1,1,644
ladle,idk,4,0,645
watch,clcok,5,0,646
camera,air pump,8,0,647
pill,microscopic hair,13,0,648
magnifying glass,vlipboard,11,0,649
blanket,towels,1,0,650
scarf,scarf,0,1,651
key,key,0,1,652
lock,lock,0,1,653
clipboard,clip board,1,1,654
notebook,note book,1,1,655
steering wheel,cro bar,12,0,656
crowbar,cro bar,1,1,657
briefcase,tray,7,0,658
marker,rain guard,8,0,659
truck,truck,0,1,660
helmet,helmet,0,1,661
battery,battery,0,1,662
egg beater,iron,10,0,663
binder,binder,0,1,664
hammer,kettle,6,0,665
pfd,sweater,7,0,666
knot,rope,0,1,667
rug,carpet,5,0,668
toothbrush,princess monioke,16,0,669
speakers,amp,7,0,670
mouse trap,plywood,7,0,671
eletric kettle,kettle,0,1,672
saw,idk,3,0,673
comb,comb,0,1,674
wheel,tire,0,1,675
cd,cd,0,1,676
cell phone,cell phone,0,1,677
sundial,compass,7,0,678
dice,crib,3,0,679
nail clippers,finger clippers,5,1,680
crib,crib,0,1,681
nail,gable roof,8,0,682
glasses,glasses,0,1,683
cookie cutter,curtain,11,0,684
candlestick,cup,10,0,685
flask,flask,0,1,686
vase,vase,0,1,687
pot,top of a head,11,0,688
mouse,ice tray,8,0,689
bucket,pale,5,0,690
wallet,patch,5,0,691
truck,truck,0,1,692
thimble,kis,6,0,693
earring,mask,6,0,694
router,weigh machine,12,0,695
ice tray,ice tray,0,1,696
glove,gloves,1,0,697
satellite,satelite,1,1,698
tub,tray,3,0,699
computer drive,microchip,5,1,700
athletic tape,ace bandage,0,1,701
stove,phone,3,0,702
candle,plastic,6,0,703
paper clip,paper clip,0,1,704
office chair,cloth,4,0,705
balloon,hot tub,7,0,706
rake,rake,0,1,707
backpack,bag,0,1,708
saddle,bike seat,8,0,709
chess board,chess board,0,1,710
boat,boat,0,1,711
necklace,beads,6,0,712
hinge,idk,4,0,713
binoculars,head phones,10,0,714
spoon,magnifine,8,0,715
box,labtop,4,0,716
pillow,cloth,5,0,717
cane,glasses,5,0,718
ethernet cable,ear buds,6,0,719
microphone,microphone,0,1,720
bed,bed,0,1,721
clothes pin,not sure,8,0,722
mailbox,not sure,8,0,723
chain,chain link,0,1,724
paint brush,toolbox,7,0,725
purse,not sure,6,0,726
glass,wine glass,0,1,727
floss,not sure,7,0,728
foot stool,screw,4,0,729
dresser,wood,6,0,730
high heel,shoe,0,1,731
knife,not sure,7,0,732
stroller,not sure,7,0,733
bandana,not sure,8,0,734
cutting board,cutting board,0,1,735
lazy chair,not sure,7,0,736
ring,not sure,8,0,737
book,not sure,7,0,738
pen,not sure,8,0,739
calculator,calculator,0,1,740
umbrella,book,7,0,741
lamp,not sure,8,0,742
paper towel,not sure,9,0,743
hole punch,not sure,7,0,744
lure,fish hook,0,1,745
mug,mug,0,1,746
radio,radio,0,1,747
moccosin,not sure,6,0,748
kid toy,not sure,7,0,749
paint tray,grater,8,0,750
shoe,not sure,6,0,751
sweater,sweater,0,1,752
bib,not sure,8,0,753
scissors,scissors,0,1,754
plane,airplane,0,1,755
deoderant,not sure,8,0,756
sponge,sponge,0,1,757
ladle,not sure,7,0,758
camera,camera,0,1,759
guitar,ladel,6,0,760
axe,not sure,7,0,761
bobby pin,bobby pin,0,1,762
cork screw,not sure,5,0,763
pill,bamboo,6,0,764
crayon,not sure,8,0,765
watch,clock,4,0,766
watering pot,not sure,7,0,767
keys,not sure,7,0,768
crowbar,not sure,7,0,769
steering wheel,steering wheel,0,1,770
magnifying glass,not sure,11,0,771
lock,purse,5,0,772
clipboard,purse,4,0,773
key,key,0,1,774
scarf,curtain,6,0,775
marker,marker,0,1,776
blanket,not sure,7,0,777
notebook,not sure,5,0,778
truck,not sure,6,0,779
briefcase,purse,7,0,780
toothbrush,toothbrush,0,1,781
battery,battery,0,1,782
egg beater,mixer,8,0,783
binder,not sure,7,0,784
rug,not sure,7,0,785
knot,not sure,6,0,786
helmet,moon,6,0,787
mouse trap,wood,7,0,788
pfd,life vest,0,1,789
eletric kettle,not sure,6,0,790
speakers,radio,7,0,791
hammer,teapot,6,0,792
crib,not sure,8,0,793
nail,nail,0,1,794
comb,comb,0,1,795
cd,not sure,8,0,796
wheel,tire,0,1,797
glasses,mixer,6,0,798
dice,not sure,7,0,799
cell phone,cell phone,0,1,800
saw,not sure,7,0,801
nail clippers,not sure,10,0,802
cookie cutter,not sure,9,0,803
sundial,not sure,8,0,804
earring,hook,7,0,805
wallet,wallet,0,1,806
vase,not sure,6,0,807
ice tray,not sure,7,0,808
pot,not sure,6,0,809
mouse,not sure,5,0,810
thimble,not sure,7,0,811
truck,not sure,6,0,812
bucket,bucket,0,1,813
flask,not sure,7,0,814
router,not sure,5,0,815
candlestick,candlestick,0,1,816
rake,rake,0,1,817
candle,candle,0,1,818
paper clip,not sure,9,0,819
stove,furnace,6,0,820
glove,chair,5,0,821
computer drive,not sure,8,0,822
satellite,sattelite,2,1,823
office chair,not sure,7,0,824
tub,not sure,6,0,825
backpack,not sure,8,0,826
balloon,balloon,0,1,827
athletic tape,not sure,6,0,828
chess board,chessboard,1,1,829
boat,not sure,7,0,830
hinge,not sure,7,0,831
binoculars,not sure,7,0,832
microphone,not sure,9,0,833
ethernet cable,cord,0,1,834
cane,cane,0,1,835
spoon,not sure,7,0,836
necklace,necklace,0,1,837
saddle,not sure,7,0,838
pillow,not sure,8,0,839
box,not sure,7,0,840
purse,shoe,4,0,841
foot stool,screw,4,0,842
dresser,drawers,0,1,843
bed,bed,0,1,844
clothes pin,clothes pin,0,1,845
high heel,belt,4,0,846
floss,drawers,6,0,847
chain,necklace,6,0,848
mailbox,bed,6,0,849
glass,chair,4,0,850
knife,bed,5,0,851
paint brush,lamp,5,0,852
book,calculator,9,0,853
lamp,shoe,4,0,854
paper towel,recliner,9,0,855
ring,clock,5,0,856
hole punch,watch,8,0,857
cutting board,lamp,12,0,858
bandana,recliner,7,0,859
pen,pen,0,1,860
stroller,stroller,0,1,861
umbrella,umbrella,0,1,862
calculator,calculator,0,1,863
lazy chair,cahir,1,1,864
deoderant,radio,8,0,865
radio,lure,5,0,866
mug,cup,2,0,867
sweater,sweater,0,1,868
kid toy,watch,4,0,869
plane,plane,0,1,870
bib,plane,5,0,871
paint tray,stroller,9,0,872
moccosin,stroller,5,0,873
scissors,scissors,0,1,874
lure,fishing lure,0,1,875
shoe,shoe,0,1,876
guitar,axe,6,0,877
pill,pill,0,1,878
keys,lamp,4,0,879
bobby pin,guitar,7,0,880
sponge,sponge,0,1,881
crayon,dresser,6,0,882
watch,watch,0,1,883
cork screw,pen,8,0,884
axe,knive,4,0,885
watering pot,watch,6,0,886
ladle,pin,5,0,887
camera,locker,5,0,888
magnifying glass,magnifying glass,0,1,889
truck,gun,4,0,890
notebook,book,4,1,891
crowbar,watch,7,0,892
key,key,0,1,893
blanket,towel,0,1,894
clipboard,clip board,1,1,895
briefcase,book,8,0,896
marker,magnifying glass,13,0,897
steering wheel,stroller,10,0,898
scarf,neck tie,7,0,899
lock,shovel,5,0,900
mouse trap,rug,9,0,901
battery,can,6,0,902
helmet,helmet,0,1,903
toothbrush,toy,8,0,904
hammer,hammer,0,1,905
egg beater,tea kettle,7,0,906
speakers,radio,7,0,907
pfd,helmet,6,0,908
knot,shoe,3,0,909
rug,rug,0,1,910
eletric kettle,tea kettle,0,1,911
binder,rug,6,0,912
dice,crib,3,0,913
cookie cutter,comb,11,0,914
crib,towel,5,0,915
glasses,glasses,0,1,916
comb,comb,0,1,917
saw,crib,4,0,918
nail clippers,glasses,10,0,919
cell phone,dice,4,0,920
wheel,rim,3,0,921
sundial,tire,6,0,922
nail,axe,3,0,923
cd,clock,4,0,924
router,pallet jack,10,0,925
vase,vase,0,1,926
bucket,bucket,0,1,927
ice tray,cell phone,8,0,928
thimble,shower head,0,1,929
mouse,phone,4,0,930
earring,glasses,7,0,931
truck,clock,3,0,932
flask,bag,4,0,933
candlestick,lamp,10,0,934
pot,bag,3,0,935
wallet,shirt,5,0,936
stove,board,5,0,937
candle,bowl,5,0,938
tub,light,5,0,939
satellite,board,9,0,940
glove,wallet,5,0,941
paper clip,paper clip,0,1,942
athletic tape,wallet,4,0,943
office chair,shirt,3,0,944
backpack,show,4,0,945
computer drive,circuit board,6,1,946
balloon,lamp,6,0,947
rake,rake,0,1,948
hinge,boat,5,0,949
cane,kane,1,1,950
boat,boatr,1,1,951
binoculars,sppom,9,0,952
necklace,braclet,7,0,953
saddle,sppo,5,0,954
ethernet cable,braclet,4,0,955
pillow,chess game,10,0,956
spoon,spoon,0,1,957
microphone,watch,9,0,958
chess board,chess board,0,1,959
box,bag,2,0,960
purse,a part of cell,11,0,961
paint brush,a steel pencil case,16,0,962
bed,bookshelf,7,0,963
knife,hanger,5,0,964
dresser,cabinet,6,0,965
foot stool,screwdriver,10,0,966
clothes pin,cutton,8,0,967
chain,bike chain,5,0,968
mailbox,bed,6,0,969
glass,gobblet,6,1,970
high heel,chair,4,0,971
floss,fridge,5,0,972
lazy chair,babycart,6,0,973
