subject,seed,trial,tStart_1,tStart_2,tEnd_1,tEnd_2,exitFlag_1,exitFlag_2,jitter_1,jitter_2,response_1,response_2,rt_1,rt_2,item,pair,list,tType_study,trial_test,item_test,pair_test,tType_test,gonogo_answer,name,name_test,roboBCFS_1,roboBCFS_2,eyes_1,eyes_2,tStart_cue,tEnd_cue,tStart_noise,tEnd_noise,exitFlag_cue,exitFlag_noise,jitter_noise,transparency_1,transparency_2,pas_1,pas_2,RoboRT_1,RoboRT_2,meanRoboRT_1,meanRoboRT_2,response_cue,rt_cue,RoboRT_cue,response_noise,rt_noise,RoboRT_noise
57,283448436,44,763465.684768373,763549.36743015,763469.297049529,763552.879627363,OK,OK,0,0,f,f,3.54635671328288,3.44349456334021,43,44,4,Not Studied,40,26,52,Binocular,go,crayon,camera,f,f,0,0,763714.57141943,763722.106124822,763724.937912343,763726.448862925,Return,Return,6,0,0,,,0,0,NaN,NaN,camera,7.51106950978283,1,Return,1.44042386661749,1
57,283448436,45,763473.909964264,763556.652027254,763475.721068879,763557.762694582,OK,OK,7,6,j,j,1.77683252491988,1.0627182170283,125,111,4,CFS,42,89,72,Not Studied,go,cork screw,sponge,j,j,0,1,763728.129934267,763730.621518904,763732.352325691,763733.863529523,Return,Return,0,0.1,0.1,2@,2@,3.65984000964023,3.59986839643719,3.49289347245332,3.49289347245332,sponge,2.47209191625007,1,Return,1.46559766295832,1
57,283448436,46,763481.754912647,763562.27554107,763485.667345422,763566.188002822,OK,OK,5,1,NO RESPONSE,NO RESPONSE,NaN,NaN,26,52,4,Binocular,44,157,33,Not Studied,go,camera,axe,z,z,1,1,763735.504580992,763759.639439903,763762.291421277,763765.303346676,Return,Return,7,1,1,,,0,0,NaN,NaN,wooden handle,24.1200288325781,1,Return,2.92497605585959,1
57,283448436,47,763488.919400627,763568.659584917,763490.030072181,763570.770884314,OK,OK,0,3,j,j,1.05464831879362,2.03048903250601,59,79,4,CFS,37,133,192,Binocular,go,keys,guitar,j,j,0,1,763767.274684426,763775.029466674,763777.93131516,763780.042594635,Return,Return,10,0.1,0.1,2@,2@,3.70441031585313,3.327150201063,3.49289347245332,3.49289347245332,NO RESPONSE,7.73313946661074,1,Return,2.09229536761995,1
57,283448436,48,763495.673645587,763576.134312869,763497.084538184,763577.244988649,OK,OK,4,6,j,j,1.39602931425907,1.06741225055885,133,192,4,CFS,47,64,107,CFS,go,guitar,watch,j,j,0,1,763781.993833855,763790.729303586,763793.621163327,763795.632430094,Return,Return,10,0.1,0.1,3#,3#,2.58291668156156,2.82180261467752,3.49289347245332,3.49289347245332,clock,8.70921290502883,1,Return,1.95367875369266,1
57,283448436,49,763820.638159466,763897.316414568,763824.550601899,763901.228890507,OK,OK,1,9,NO RESPONSE,NO RESPONSE,NaN,NaN,144,140,5,Binocular,54,185,183,CFS,nogo,marker,lock,z,z,1,1,763962.39735684,763966.650080639,763969.371751402,763973.284203797,Return,OK,3,1,1,,,0,0,NaN,NaN,lock,4.23291504289955,1,NO RESPONSE,NaN,1
57,283448436,50,763828.022790105,763903.300172747,763831.935268761,763907.212641442,OK,OK,6,2,NO RESPONSE,NO RESPONSE,NaN,NaN,20,71,5,Binocular,56,98,78,Not Studied,nogo,briefcase,scarf,z,z,1,1,763975.035335499,763982.670132381,763984.621383676,763988.533803169,Return,OK,1,1,1,,,0,0,NaN,NaN,jacket,7.61012264376041,1,NO RESPONSE,NaN,1
57,283448436,51,763834.887127675,763909.173918004,763837.79897245,763911.585395884,OK,OK,0,0,f,f,2.80565898027271,2.35515490977559,98,78,5,Not Studied,50,86,29,CFS,go,scarf,steering wheel,f,f,0,0,763995.167997563,763998.950353298,764001.562029551,764002.472614717,Return,Return,4,0,0,,,0,0,NaN,NaN,wheel,3.76466504414566,1,Return,0.834486039355397,1
57,283448436,52,763843.202357491,763914.036935896,763846.614491587,763916.448467504,OK,OK,0,0,f,f,3.35394902818371,2.3319180700928,124,100,5,Not Studied,53,170,172,Binocular,go,magnifying glass,notebook,f,f,0,0,764004.193616283,764013.40947512,764016.14116602,764017.652160369,Return,Return,6,0,0,,,0,0,NaN,NaN,NO RESPONSE,9.18633601861075,1,Return,1.42259070440196,1
57,283448436,53,763850.577045569,763919.270226739,763852.18799437,763920.681128391,OK,OK,8,5,j,j,1.59493819519412,1.39432598766871,181,184,5,CFS,60,124,100,Not Studied,go,clipboard,magnifying glass,j,j,0,1,764019.873526115,764032.131258774,764034.432684492,764036.443953975,Return,Return,4,0.1,0.1,2@,2@,2.942886262849,4.25404710820497,3.49289347245332,3.49289347245332,key,12.2334532372188,1,Return,1.91416206012946,1
