subject,seed,trial,tStart_1,tStart_2,tEnd_1,tEnd_2,exitFlag_1,exitFlag_2,jitter_1,jitter_2,response_1,response_2,rt_1,rt_2,item,pair,name,list,tType,swap,trial_test,item_test,pair_test,tType_test,swap_test,name_test,mm_answer,eyes_1,eyes_2,tStart_cue,tEnd_cue,tStart_noise,tEnd_noise,exitFlag_cue,exitFlag_noise,jitter_cue,jitter_noise,transparency_1,transparency_2,pas_1,pas_2,RoboRT_1,RoboRT_2,meanRoboRT_1,meanRoboRT_2,response_cue,rt_cue,RoboRT_cue,meanRoboRT_cue,response_noise,rt_noise,RoboRT_noise,meanRoboRT_noise
3,894101106,40,NaN,NaN,NaN,NaN,EMPTY,EMPTY,9,0,,,NaN,NaN,57,90,cd,4,BINOCULAR,match,37,35,38,BINOCULAR,mismatch,table,p,1,1,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,7,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
3,894101106,41,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,0,,,NaN,NaN,24,27,calculator,4,NOT STUDIED,match,44,146,147,NOT STUDIED,match,hole punch,q,0,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,8,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
3,894101106,42,NaN,NaN,NaN,NaN,EMPTY,EMPTY,6,0,,,NaN,NaN,191,60,ladder,4,CFS,mismatch,47,61,121,BINOCULAR,match,watering pot,q,1,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,10,2,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
3,894101106,43,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,0,,,NaN,NaN,192,133,razor,4,NOT STUDIED,mismatch,42,191,60,CFS,mismatch,ladder,p,0,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,3,5,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
3,894101106,44,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,0,,,NaN,NaN,146,147,hole punch,4,NOT STUDIED,match,39,161,163,NOT STUDIED,mismatch,egg beater,p,0,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,2,0,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
3,894101106,45,NaN,NaN,NaN,NaN,EMPTY,EMPTY,7,2,,,NaN,NaN,127,138,pfd,4,CFS,mismatch,48,165,45,CFS,match,nail,q,1,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,6,6,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
3,894101106,46,NaN,NaN,NaN,NaN,EMPTY,EMPTY,10,5,,,NaN,NaN,56,99,computer drive,4,BINOCULAR,mismatch,43,192,133,NOT STUDIED,mismatch,razor,p,1,1,NaN,NaN,NaN,NaN,EMPTY,EMPTY,10,5,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
3,894101106,47,NaN,NaN,NaN,NaN,EMPTY,EMPTY,4,0,,,NaN,NaN,61,121,watering pot,4,BINOCULAR,match,41,24,27,NOT STUDIED,match,calculator,q,1,1,NaN,NaN,NaN,NaN,EMPTY,EMPTY,1,1,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
3,894101106,48,NaN,NaN,NaN,NaN,EMPTY,EMPTY,3,8,,,NaN,NaN,165,45,nail,4,CFS,match,45,127,138,CFS,mismatch,pfd,p,1,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,2,8,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
3,894101106,49,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,0,,,NaN,NaN,134,149,earring,5,NOT STUDIED,match,54,116,136,NOT STUDIED,mismatch,plane,p,0,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,3,7,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
3,894101106,50,NaN,NaN,NaN,NaN,EMPTY,EMPTY,4,5,,,NaN,NaN,128,143,knot,5,BINOCULAR,match,50,128,143,BINOCULAR,match,knot,q,1,1,NaN,NaN,NaN,NaN,EMPTY,EMPTY,8,8,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
3,894101106,51,NaN,NaN,NaN,NaN,EMPTY,EMPTY,10,10,,,NaN,NaN,152,158,knife,5,CFS,mismatch,60,130,160,CFS,mismatch,glove,p,1,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,8,10,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
3,894101106,52,NaN,NaN,NaN,NaN,EMPTY,EMPTY,7,1,,,NaN,NaN,171,173,paint brush,5,BINOCULAR,mismatch,57,169,21,CFS,match,notebook,q,1,1,NaN,NaN,NaN,NaN,EMPTY,EMPTY,1,6,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
3,894101106,53,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,0,,,NaN,NaN,190,93,hose,5,NOT STUDIED,mismatch,59,81,96,BINOCULAR,mismatch,lamp,p,0,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,5,5,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
3,894101106,54,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,0,,,NaN,NaN,116,136,plane,5,NOT STUDIED,mismatch,53,190,93,NOT STUDIED,mismatch,hose,p,0,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,6,0,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
3,894101106,55,NaN,NaN,NaN,NaN,EMPTY,EMPTY,5,3,,,NaN,NaN,166,129,nail clippers,5,CFS,match,51,152,158,CFS,mismatch,knife,p,1,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,8,6,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
3,894101106,56,NaN,NaN,NaN,NaN,EMPTY,EMPTY,10,8,,,NaN,NaN,153,8,ladle,5,BINOCULAR,match,55,166,129,CFS,match,nail clippers,q,1,1,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,1,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
3,894101106,57,NaN,NaN,NaN,NaN,EMPTY,EMPTY,6,1,,,NaN,NaN,169,21,notebook,5,CFS,match,52,171,173,BINOCULAR,mismatch,paint brush,p,1,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,9,10,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
3,894101106,58,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,0,,,NaN,NaN,120,132,mug,5,NOT STUDIED,match,56,153,8,BINOCULAR,match,ladle,q,0,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,3,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
3,894101106,59,NaN,NaN,NaN,NaN,EMPTY,EMPTY,6,7,,,NaN,NaN,81,96,lamp,5,BINOCULAR,mismatch,49,134,149,NOT STUDIED,match,earring,q,1,1,NaN,NaN,NaN,NaN,EMPTY,EMPTY,7,8,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
3,894101106,60,NaN,NaN,NaN,NaN,EMPTY,EMPTY,3,3,,,NaN,NaN,130,160,glove,5,CFS,mismatch,58,120,132,NOT STUDIED,match,mug,q,1,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,10,3,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
3,894101106,61,NaN,NaN,NaN,NaN,EMPTY,EMPTY,2,4,,,NaN,NaN,168,17,necklace,6,CFS,match,63,105,106,CFS,mismatch,bathrobe,p,1,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,5,10,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
3,894101106,62,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,0,,,NaN,NaN,92,94,sled,6,NOT STUDIED,mismatch,61,168,17,CFS,match,necklace,q,0,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,2,6,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
3,894101106,63,NaN,NaN,NaN,NaN,EMPTY,EMPTY,1,5,,,NaN,NaN,105,106,bathrobe,6,CFS,mismatch,67,10,12,BINOCULAR,match,bench,q,1,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,1,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
3,894101106,64,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,0,,,NaN,NaN,48,65,dress,6,NOT STUDIED,mismatch,65,4,34,NOT STUDIED,match,basket,q,0,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,0,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
3,894101106,65,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,0,,,NaN,NaN,4,34,basket,6,NOT STUDIED,match,68,189,19,CFS,match,fire hydrant,q,0,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,3,8,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
3,894101106,66,NaN,NaN,NaN,NaN,EMPTY,EMPTY,2,8,,,NaN,NaN,36,46,comb,6,BINOCULAR,mismatch,70,41,42,BINOCULAR,match,couch,q,1,1,NaN,NaN,NaN,NaN,EMPTY,EMPTY,4,7,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
3,894101106,67,NaN,NaN,NaN,NaN,EMPTY,EMPTY,9,1,,,NaN,NaN,10,12,bench,6,BINOCULAR,match,71,164,54,BINOCULAR,mismatch,mouse trap,p,1,1,NaN,NaN,NaN,NaN,EMPTY,EMPTY,1,7,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
