subject,seed,trial,tStart_1,tStart_2,tEnd_1,tEnd_2,exitFlag_1,exitFlag_2,jitter_1,jitter_2,response_1,response_2,rt_1,rt_2,item,pair,name,list,tType_study,trial_test,item_test,pair_test,tType_test,name_test,roboBCFS_1,roboBCFS_2,gonogo_answer,eyes_1,eyes_2,tStart_cue,tEnd_cue,tStart_noise,tEnd_noise,exitFlag_cue,exitFlag_noise,jitter_noise,transparency_1,transparency_2,pas_1,pas_2,RoboRT_1,RoboRT_2,meanRoboRT_1,meanRoboRT_2,response_cue,rt_cue,RoboRT_cue,response_noise,rt_noise,RoboRT_noise
51,32031609,56,2513969.45538666,2514068.39614118,2513982.17320006,2514076.7112634,OK,OK,0,0,f,f,12.6125181028619,8.27365832217038,124,100,magnifying glass,5,Not Studied,50,185,183,Binocular,lock,f,f,go,0,0,2514209.60293881,2514227.30382121,2514229.23496594,2514230.44571017,Return,Return,2,0,0,,,0,0,NaN,NaN,truck,17.689011215698,2,Return,1.12886019796133,2
51,32031609,57,2513984.84483748,2514079.9032363,2513991.15872004,2514083.91572959,OK,OK,6,5,j,j,6.20641247881576,3.91008210740983,181,184,clipboard,5,CFS,60,98,78,Not Studied,scarf,j,j,nogo,1,0,2514232.22684274,2514236.99978147,2514238.86091275,2514242.77332509,Return,OK,0,1,0.939413062813476,3#,3#,1.92101308630812,3.16165516461968,2,2.02839032757804,jacket,4.76045901933685,2,NO RESPONSE,NaN,2
51,32031609,58,2513995.47134149,2514088.40847419,2514004.78706227,2514092.42094333,OK,OK,0,0,f,f,9.29104026639834,3.99623933527619,98,78,scarf,5,Not Studied,57,151,97,Not Studied,key,f,f,go,0,0,2514244.50437039,2514246.53562958,2514248.87703752,2514249.88768987,Return,Return,6,0,0,,,0,0,NaN,NaN,key,2.0183381838724,2,Return,0.917536428198218,2
51,32031609,59,2514008.05910453,2514095.69291858,2514010.77075731,2514098.90492572,OK,OK,12,7,NO RESPONSE,NO RESPONSE,NaN,NaN,20,71,briefcase,5,Binocular,59,20,71,Binocular,briefcase,z,z,go,1,1,2514251.19847732,2514255.94142219,2514258.19281867,2514259.80374968,Return,Return,5,1,1,,,0,0,NaN,NaN,notebook,4.7156199044548,2,Return,1.52909014187753,2
51,32031609,60,2514013.07215563,2514100.97616676,2514017.68502447,2514102.68726777,OK,OK,4,2,j,j,4.56943813106045,1.67585930228233,170,172,notebook,5,CFS,51,181,184,CFS,clipboard,j,j,go,1,0,2514261.93506054,2514265.12705548,2514268.33899561,2514269.64980299,Return,Return,9,1,1,3#,3#,3.06129786864969,1.71495000994885,2,2,clipboard,3.16243029665202,2,Return,1.20633762143552,2
51,32031609,61,2514276.59412981,2514368.75072427,2514279.60591709,2514372.06275683,OK,OK,9,6,NO RESPONSE,NO RESPONSE,NaN,NaN,140,144,hammer,6,Binocular,61,140,144,CFS,hammer,z,z,go,1,1,2514462.99865046,2514466.15056031,2514468.08175001,2514469.19243533,Return,Return,1,1,1,,,0,0,NaN,NaN,hammer,3.13381435070187,2,Return,1.00257894862443,2
51,32031609,62,2514281.50681019,2514375.60491769,2514285.31945881,2514378.31660096,OK,OK,1,12,NO RESPONSE,NO RESPONSE,NaN,NaN,73,68,toothbrush,6,Binocular,71,162,159,Not Studied,egg beater,z,z,go,1,1,2514470.7433931,2514475.53632532,2514478.08786747,2514479.39873159,Return,Return,7,1,1,,,0,0,NaN,NaN,mixer,4.77250196039677,2,Return,1.25984356086701,2
51,32031609,63,2514288.85161749,2514380.61800954,2514291.96350866,2514384.33029468,OK,OK,8,2,NO RESPONSE,NO RESPONSE,NaN,NaN,128,143,pfd,6,Binocular,68,13,16,CFS,binder,z,z,nogo,1,1,2514481.27986241,2514492.24659476,2514495.13834079,2514497.95011226,Return,OK,11,1,1,,,0,0,NaN,NaN,mouse trap,10.9469884801656,2,NO RESPONSE,NaN,2
51,32031609,64,2514294.17487107,2514386.39152841,2514301.28923856,2514393.20571764,OK,OK,0,0,f,f,7.10430011944845,6.73777972534299,7,119,battery,6,Not Studied,67,129,166,Binocular,knot,f,f,nogo,0,0,2514500.15145799,2514504.78430011,2514507.54596529,2514510.45775281,Return,OK,10,0,0,,,0,0,NaN,NaN,NO RESPONSE,4.61056095175445,2,NO RESPONSE,NaN,2
51,32031609,65,2514304.26108685,2514395.71734735,2514306.87267045,2514398.22883581,OK,OK,6,5,j,j,2.51379363238811,2.49159426987171,129,166,knot,6,CFS,64,165,45,Not Studied,mouse trap,j,j,go,1,0,2514513.12943159,2514517.96239335,2514523.0355022,2514525.24687094,Return,Return,12,0.972604477116348,0.975309912028333,3#,3#,2.08381873362833,0.858285275136607,2.01255222831117,2.0112922931668,mouse trap,4.81575428554788,2,Return,2.11730775143951,2
