subject,seed,trial,tStart_1,tStart_2,tEnd_1,tEnd_2,exitFlag_1,exitFlag_2,jitter_1,jitter_2,response_1,response_2,rt_1,rt_2,item,pair,name,list,tType,swap,trial_test,item_test,pair_test,tType_test,swap_test,name_test,roboBCFS_1,roboBCFS_2,mm_answer,eyes_1,eyes_2,tStart_cue,tEnd_cue,tStart_noise,tEnd_noise,exitFlag_cue,exitFlag_noise,jitter_cue,jitter_noise,transparency_1,transparency_2,pas_1,pas_2,RoboRT_1,RoboRT_2,meanRoboRT_1,meanRoboRT_2,response_cue,rt_cue,RoboRT_cue,meanRoboRT_cue,response_noise,rt_noise,RoboRT_noise,meanRoboRT_noise
7,929149620,12,118471.842059621,118589.203126613,118475.950491974,118591.711566754,OK,OK,0,1,j,j,4.0095593752776,2.48900988778041,167,126,nail clippers,1,CFS,match,10,37,112,BINOCULAR,mismatch,comb,j,j,q,1,0,118787.107759544,118789.215826063,118791.091156355,118795.99962994,OK,OK,5,7,1,1,3#,3#,1.38731513509626,1.40582075342565,2,2,comb,2.09953763653175,2,NaN,q,4.85980045747419,2,NaN
7,929149620,13,118805.133194968,118875.418174525,118809.541640784,118879.62661388,OK,OK,2,4,NO RESPONSE,NO RESPONSE,NaN,NaN,40,88,cookie cutter,2,BINOCULAR,match,16,11,103,NOT STUDIED,match,bib,z,z,p,1,1,118958.153453479,118964.678271332,118966.737014251,118971.545443707,OK,OK,9,10,1,1,,,0,0,NaN,NaN, ,6.51447489237762,2,NaN,p,4.70657637932163,2,NaN
7,929149620,14,118813.275034123,118881.993330774,118815.983424279,118884.601710908,OK,OK,0,0,f,f,2.69061400346982,2.55983649754489,171,173,binky,2,NOT STUDIED,match,21,81,96,BINOCULAR,match,stroller,f,f,p,0,0,118973.453798969,118980.211986617,118983.095693361,118986.404073918,OK,OK,1,4,0,0,,,0,0,NaN,NaN,carriage,6.74113924088306,2,NaN,p,3.26693748042453,2,NaN
7,929149620,15,118819.108506305,118887.035091389,118823.216969446,118891.543544207,OK,OK,5,1,NO RESPONSE,NO RESPONSE,NaN,NaN,116,136,puzzle piece,2,BINOCULAR,mismatch,24,102,110,CFS,match,saddle,z,z,p,1,1,118988.279132853,118992.728926965,118994.812646809,118997.82099851,OK,OK,10,2,1,1,,,0,0,NaN,NaN,NO RESPONSE,4.43501677342283,2,NaN,p,2.93322774856642,2,NaN
7,929149620,16,118825.300339151,118893.760257991,118826.908729246,118896.468662032,OK,OK,0,0,f,f,1.51261916015937,2.6641508032917,11,103,bib,2,NOT STUDIED,match,22,5,49,CFS,mismatch,basket,f,f,q,0,0,118999.78774776,119003.154169149,119005.129526366,119008.837973268,OK,OK,2,6,0,0,,,0,0,NaN,NaN,basket,3.34972764684062,2,NaN,q,3.67964743502671,2,NaN
7,929149620,17,118830.250445672,118899.518744163,118834.058845244,118903.627199758,OK,OK,8,5,NO RESPONSE,NO RESPONSE,NaN,NaN,63,77,water bottle,2,BINOCULAR,mismatch,14,171,173,NOT STUDIED,match,binky,z,z,p,1,1,119011.313021095,119014.246096412,119016.346455062,119020.154878783,OK,OK,2,5,1,1,,,0,0,NaN,NaN,egg,2.91167825442972,2,NaN,p,3.74993465094303,2,NaN
7,929149620,18,118836.817293686,118905.710540487,118839.125679072,118909.518999522,OK,OK,0,0,f,f,2.2828603148082,3.72103467032139,152,158,key ring,2,NOT STUDIED,mismatch,18,152,158,NOT STUDIED,mismatch,key ring,f,f,q,0,0,119022.013254842,119025.613006184,119027.746739942,119030.355138791,OK,OK,4,2,0,0,,,0,0,NaN,NaN,mug,3.58678083584527,2,NaN,p,2.56505174498307,2,NaN
7,929149620,19,118842.000713256,118911.985701988,118843.809088681,118916.394106149,OK,OK,4,0,f,j,1.75515231312602,4.36543828544382,165,45,mouse trap,2,CFS,mismatch,17,63,77,BINOCULAR,mismatch,water bottle,j,j,q,1,0,119033.01351986,119038.93000859,119041.122066914,119043.730384868,OK,OK,6,2,0.920044414629323,0.920044414629323,,3#,3.18322688790418,1.33532771845616,2.03797268078664,2.03797268078664,water bottle,5.90564259707753,2,NaN,q,2.51682051616081,2,NaN
7,929149620,20,118847.159167371,118920.869222494,118849.067535009,118922.777609148,OK,OK,6,4,j,j,1.87635655896156,1.87347455973213,78,98,sweater,2,CFS,match,19,165,45,CFS,mismatch,mouse trap,j,j,q,1,0,119045.480474667,119050.538639254,119053.013982284,119055.822402684,OK,OK,6,8,0.920044414629323,0.920044414629323,3#,3#,2.26651726048059,1.17451940470291,2.03797268078664,2.03797268078664,mousetrap,5.03794863713847,2,NaN,q,2.71213210592396,2,NaN
7,929149620,21,118853.926024562,118927.252706176,118857.834434457,118931.561159476,OK,OK,7,3,NO RESPONSE,NO RESPONSE,NaN,NaN,81,96,stroller,2,BINOCULAR,match,13,40,88,BINOCULAR,match,cookie cutter,z,z,p,1,1,119057.930765613,119060.697179094,119062.947563793,119067.956037136,OK,OK,5,9,1,1,,,0,0,NaN,NaN,NO RESPONSE,2.75499897675763,2,NaN,p,4.9857865038648,2,NaN
7,929149620,22,118860.826171801,118934.277867828,118863.134544811,118935.586252308,OK,OK,10,8,j,j,2.23242502666835,1.22404706581437,5,49,basket,2,CFS,mismatch,23,26,52,NOT STUDIED,mismatch,camera,j,j,q,1,0,119070.064399764,119072.772471172,119074.672831815,119077.481222332,OK,OK,6,2,0.920044414629323,0.920044414629323,3#,3#,2.99379404188124,2.44787849223495,2.03797268078664,2.03797268078664,NO RESPONSE,2.69264148449292,2,NaN,q,2.72378234929056,2,NaN
7,929149620,23,118866.392949787,118939.703011913,118869.301395602,118946.111497571,OK,OK,0,0,f,f,2.8332678333536,6.38218303894973,26,52,camera,2,NOT STUDIED,mismatch,15,116,136,BINOCULAR,mismatch,puzzle piece,f,f,q,0,0,119079.164621981,119082.364355876,119084.364717182,119087.773152433,OK,OK,9,4,0,0,,,0,0,NaN,NaN, ,3.1837129615742,2,NaN,q,3.30332528619329,2,NaN
7,929149620,24,118872.06808376,118948.786531332,118872.376434435,118951.494933863,OK,OK,7,2,f,j,0.269926030305214,2.69037283072248,102,110,saddle,2,CFS,match,20,78,98,CFS,match,sweater,j,j,p,1,0,119089.756548942,119094.53964228,119096.465016067,119099.373442866,OK,OK,6,6,0.920044414629323,0.920044414629323,,1!,0.973286889758215,4.20712631807312,2.03797268078664,2.03797268078664, ,4.76703588131932,2,NaN,p,2.83425335150969,2,NaN
7,929149620,25,119107.465261164,119211.45939152,119109.473646671,119214.567799726,OK,OK,7,6,j,j,1.95338483987143,3.00040990312118,139,14,bobby pin,3,CFS,match,36,10,12,BINOCULAR,match,bench,j,j,p,1,0,119308.036674557,119310.953073036,119313.311785952,119316.420167897,OK,OK,3,9,0.920044414629323,0.920044414629323,1!,3#,2.0802698314014,4.23041833516807,2.03797268078664,2.03797268078664,NO RESPONSE,2.90490911802044,2,NaN,p,3.09345730638597,2,NaN
7,929149620,26,119115.44875547,119219.951258656,119119.45725447,119224.559713346,OK,OK,6,0,NO RESPONSE,NO RESPONSE,NaN,NaN,148,55,jar,3,BINOCULAR,match,32,122,32,CFS,mismatch,lure,z,z,q,1,1,119318.403547503,119322.328343865,119324.345346694,119326.553732925,OK,OK,10,6,1,1,,,0,0,NaN,NaN,fish hook,3.905411083324,2,NaN,q,2.17130177139188,2,NaN
7,929149620,27,119124.682352252,119226.576400749,119130.190809598,119240.485060571,OK,OK,0,0,j,f,5.4389811824949,13.8658119673491,92,94,sock,3,NOT STUDIED,match,34,159,162,BINOCULAR,mismatch,crowbar,f,f,q,0,0,119328.103789702,119333.070238619,119335.037251983,119337.745662362,OK,OK,5,9,0,0,,,0,0,NaN,NaN,fish hook,4.94830270530656,2,NaN,q,2.6226935403829,2,NaN
7,929149620,28,119133.115896333,119243.660161341,119140.724398713,119246.068534412,OK,OK,4,6,j,j,7.54876760425395,2.38163730637461,166,129,nail,3,CFS,mismatch,31,50,80,NOT STUDIED,mismatch,dresser,j,j,q,1,0,119339.454038029,119344.653835613,119346.60417093,119349.512602559,OK,OK,1,10,0.920044414629323,0.920044414629323,2@,3#,3.58531694941838,2.68892481049178,2.03797268078664,2.03797268078664,house,5.18933479185216,2,NaN,q,2.84689937572693,2,NaN
7,929149620,29,119145.307838144,119251.03529785,119147.416217373,119257.343812727,OK,OK,0,0,f,f,2.06836960584042,6.22981770479237,151,97,key,3,NOT STUDIED,match,25,139,14,CFS,match,bobby pin,f,f,p,0,0,119350.995980957,119355.279104781,119357.254449622,119360.762858371,OK,OK,9,4,0,0,,,0,0,NaN,NaN,tweezers ,4.26272827648791,2,NaN,p,3.41200907461462,2,NaN
7,929149620,30,119149.782955999,119259.518848903,119153.89137326,119263.827325747,OK,OK,0,0,f,f,4.0648561505659,4.27387625272968,76,113,thimble,3,NOT STUDIED,mismatch,33,145,15,BINOCULAR,mismatch,router,f,f,q,0,0,119362.446254095,119367.471045084,119369.421132286,119372.129821267,OK,OK,4,1,0,0,,,0,0,NaN,NaN,wifi modem,5.00364807735605,2,NaN,q,2.64454035011295,2,NaN
